,artist,date.entered,rank,time,track,week,year
0,'2Ge+her','2000-09-02',91.0,'3:15','The Hardest Part Of ...','wk1',2000
1,'2 Pac','2000-02-26',87.0,'4:22',"""Baby Don't Cry""",'wk1',2000
2,'3 Doors Down','2000-04-08',81.0,'3:53','Kryptonite','wk1',2000
3,'3 Doors Down','2000-10-21',76.0,'4:24','Loser','wk1',2000
4,'504 Boyz','2000-04-15',57.0,'3:35','Wobble Wobble','wk1',2000
5,'98?','2000-08-19',51.0,'3:24','Give Me Just One Nig...','wk1',2000
6,'Aaliyah','2000-01-29',84.0,'4:15',"""I Don't Wanna""",'wk1',2000
7,'Aaliyah','2000-03-18',59.0,'4:03','Try Again','wk1',2000
8,"'Adams, Yolanda'",'2000-08-26',76.0,'5:30','Open My Heart','wk1',2000
9,"'Adkins, Trace'",'2000-04-29',84.0,'3:05','More','wk1',2000
10,"'Aguilera, Christina'",'2000-08-05',57.0,'3:38','Come On Over Baby','wk1',2000
11,"'Aguilera, Christina'",'2000-04-15',50.0,'4:00','I Turn To You','wk1',2000
12,"'Aguilera, Christina'",'1999-11-27',71.0,'3:18','What A Girl Wants','wk1',2000
13,'Alice Deejay','2000-04-08',79.0,'6:50','Better Off Alone','wk1',2000
14,"'Allan, Gary'",'2000-01-22',80.0,'4:18','Smoke Rings In The D...','wk1',2000
15,'Amber','1999-07-17',99.0,'4:38','Sexual','wk1',2000
16,'Anastacia','2000-04-01',92.0,'4:01',"""I'm Outta Love""",'wk1',2000
17,"'Anthony, Marc'",'2000-09-16',82.0,'3:59','My Baby You','wk1',2000
18,"'Anthony, Marc'",'2000-02-26',77.0,'3:50','You Sang To Me','wk1',2000
19,'A*Teens','2000-07-08',97.0,'3:44','Dancing Queen','wk1',2000
20,'Avant','2000-11-04',70.0,'4:28','My First Love','wk1',2000
21,'Avant','2000-04-29',62.0,'4:13','Separated','wk1',2000
22,"'Backstreet Boys, The'",'2000-10-14',39.0,'3:49','Shape Of My Heart','wk1',2000
23,"'Backstreet Boys, The'",'2000-01-01',74.0,'3:54','Show Me The Meaning ...','wk1',2000
24,"'Backstreet Boys, The'",'2000-05-27',58.0,'3:46','The One','wk1',2000
25,"'Badu, Erkyah'",'2000-08-19',67.0,'5:03','Bag Lady','wk1',2000
26,'Baha Men','2000-07-22',99.0,'3:17','Who Let The Dogs Out','wk1',2000
27,'Barenaked Ladies','2000-09-09',77.0,'3:46','Pinch Me','wk1',2000
28,'BBMak','2000-04-29',99.0,'3:35','Back Here','wk1',2000
29,'Beenie Man','2000-10-21',72.0,'4:17','Girls Dem Sugar','wk1',2000
30,'Before Dark','2000-05-20',95.0,'4:04','Monica','wk1',2000
31,"'Bega, Lou'",'2000-01-29',75.0,'3:23','Tricky Tricky ','wk1',2000
32,'Big Punisher','2000-04-22',96.0,'3:25',"""It's So Hard""",'wk1',2000
33,"'Black, Clint'",'2000-02-19',87.0,'5:28','Been There','wk1',2000
34,'Black Rob','2000-03-04',78.0,'4:04','Whoa!','wk1',2000
35,'Blaque','1999-10-23',73.0,'3:46','Bring It All To Me','wk1',2000
36,"'Blige, Mary J.'",'1999-11-13',83.0,'5:26','Deep Inside','wk1',2000
37,"'Blige, Mary J.'",'2000-04-15',97.0,'5:00','Give Me You','wk1',2000
38,'Blink-182','1999-12-04',89.0,'2:52','All The Small Things','wk1',2000
39,'Bloodhound Gang','2000-03-18',70.0,'4:20','The Bad Touch','wk1',2000
40,'Bon Jovi','2000-08-12',64.0,'3:44',"""It's My Life""",'wk1',2000
41,"'Braxton, Toni'",'2000-03-18',63.0,'4:21',"""He Wasn't Man Enough""",'wk1',2000
42,"'Braxton, Toni'",'2000-07-29',76.0,'4:10','Just Be A Man About ...','wk1',2000
43,"'Braxton, Toni'",'2000-12-02',98.0,'4:24','Spanish Guitar','wk1',2000
44,"'Brock, Chad'",'2000-01-01',93.0,'3:54','A Country Boy Can Su...','wk1',2000
45,"'Brock, Chad'",'2000-04-08',90.0,'3:22','Yes!','wk1',2000
46,'Brooks & Dunn','2000-06-10',95.0,'2:58',"""You'll Always Be Lov...""",'wk1',2000
47,"'Brooks, Garth'",'2000-02-19',86.0,'2:56','Do What You Gotta Do','wk1',2000
48,"'Byrd, Tracy'",'2000-01-29',81.0,'4:30','Put Your Hand In Min...','wk1',2000
49,"'Cagle, Chris'",'2000-10-21',99.0,'3:02','My Love Goes On And ...','wk1',2000
50,"""Cam'ron""",'2000-10-14',94.0,'4:38','What Means The World...','wk1',2000
51,"'Carey, Mariah'",'2000-06-24',28.0,'5:19','Crybaby','wk1',2000
52,"'Carey, Mariah'",'1999-12-11',82.0,'4:14','Thank God I Found Yo...','wk1',2000
53,"'Carter, Aaron'",'2000-08-26',99.0,'3:23',"""Aaron's Party""",'wk1',2000
54,"'Carter, Torrey'",'2000-06-24',94.0,'3:43','Take That','wk1',2000
55,'Changing Faces','2000-09-30',80.0,'4:00','That Other Woman','wk1',2000
56,"'Chesney, Kenny'",'2000-10-21',75.0,'3:54','I Lost It','wk1',2000
57,"'Chesney, Kenny'",'2000-04-01',79.0,'4:05','What I Need To Do','wk1',2000
