,Day,Month,Ozone,Solar.R,Temp,Wind
0,1,5,41.0,190.0,67,7.4000000000000004
1,2,5,36.0,118.0,72,8.0
2,3,5,12.0,149.0,74,12.6
3,4,5,18.0,313.0,62,11.5
4,5,5,nan,nan,56,14.300000000000001
5,6,5,28.0,nan,66,14.9
6,7,5,23.0,299.0,65,8.5999999999999996
7,8,5,19.0,99.0,59,13.800000000000001
8,9,5,8.0,19.0,61,20.100000000000001
9,10,5,nan,194.0,69,8.5999999999999996
10,11,5,7.0,nan,74,6.9000000000000004
11,12,5,16.0,256.0,69,9.6999999999999993
12,13,5,11.0,290.0,66,9.1999999999999993
13,14,5,14.0,274.0,68,10.9
14,15,5,18.0,65.0,58,13.199999999999999
15,16,5,14.0,334.0,64,11.5
16,17,5,34.0,307.0,66,12.0
17,18,5,6.0,78.0,57,18.399999999999999
18,19,5,30.0,322.0,68,11.5
19,20,5,11.0,44.0,62,9.6999999999999993
20,21,5,1.0,8.0,59,9.6999999999999993
21,22,5,11.0,320.0,73,16.600000000000001
22,23,5,4.0,25.0,61,9.6999999999999993
23,24,5,32.0,92.0,61,12.0
24,25,5,nan,66.0,57,16.600000000000001
25,26,5,nan,266.0,58,14.9
26,27,5,nan,nan,57,8.0
27,28,5,23.0,13.0,67,12.0
28,29,5,45.0,252.0,81,14.9
29,30,5,115.0,223.0,79,5.7000000000000002
30,31,5,37.0,279.0,76,7.4000000000000004
31,1,6,nan,286.0,78,8.5999999999999996
32,2,6,nan,287.0,74,9.6999999999999993
33,3,6,nan,242.0,67,16.100000000000001
34,4,6,nan,186.0,84,9.1999999999999993
35,5,6,nan,220.0,85,8.5999999999999996
36,6,6,nan,264.0,79,14.300000000000001
37,7,6,29.0,127.0,82,9.6999999999999993
38,8,6,nan,273.0,87,6.9000000000000004
39,9,6,71.0,291.0,90,13.800000000000001
40,10,6,39.0,323.0,87,11.5
41,11,6,nan,259.0,93,10.9
42,12,6,nan,250.0,92,9.1999999999999993
43,13,6,23.0,148.0,82,8.0
44,14,6,nan,332.0,80,13.800000000000001
45,15,6,nan,322.0,79,11.5
46,16,6,21.0,191.0,77,14.9
47,17,6,37.0,284.0,72,20.699999999999999
48,18,6,20.0,37.0,65,9.1999999999999993
49,19,6,12.0,120.0,73,11.5
50,20,6,13.0,137.0,76,10.300000000000001
51,21,6,nan,150.0,77,6.2999999999999998
52,22,6,nan,59.0,76,1.7
53,23,6,nan,91.0,76,4.5999999999999996
54,24,6,nan,250.0,76,6.2999999999999998
55,25,6,nan,135.0,75,8.0
56,26,6,nan,127.0,78,8.0
57,27,6,nan,47.0,73,10.300000000000001
58,28,6,nan,98.0,80,11.5
59,29,6,nan,31.0,77,14.9
60,30,6,nan,138.0,83,8.0
61,1,7,135.0,269.0,84,4.0999999999999996
62,2,7,49.0,248.0,85,9.1999999999999993
63,3,7,32.0,236.0,81,9.1999999999999993
64,4,7,nan,101.0,84,10.9
65,5,7,64.0,175.0,83,4.5999999999999996
66,6,7,40.0,314.0,83,10.9
67,7,7,77.0,276.0,88,5.0999999999999996
68,8,7,97.0,267.0,92,6.2999999999999998
69,9,7,97.0,272.0,92,5.7000000000000002
70,10,7,85.0,175.0,89,7.4000000000000004
71,11,7,nan,139.0,82,8.5999999999999996
72,12,7,10.0,264.0,73,14.300000000000001
73,13,7,27.0,175.0,81,14.9
74,14,7,nan,291.0,91,14.9
75,15,7,7.0,48.0,80,14.300000000000001
76,16,7,48.0,260.0,81,6.9000000000000004
77,17,7,35.0,274.0,82,10.300000000000001
78,18,7,61.0,285.0,84,6.2999999999999998
79,19,7,79.0,187.0,87,5.0999999999999996
80,20,7,63.0,220.0,85,11.5
81,21,7,16.0,7.0,74,6.9000000000000004
82,22,7,nan,258.0,81,9.6999999999999993
83,23,7,nan,295.0,82,11.5
84,24,7,80.0,294.0,86,8.5999999999999996
85,25,7,108.0,223.0,85,8.0
86,26,7,20.0,81.0,82,8.5999999999999996
87,27,7,52.0,82.0,86,12.0
88,28,7,82.0,213.0,88,7.4000000000000004
89,29,7,50.0,275.0,86,7.4000000000000004
90,30,7,64.0,253.0,83,7.4000000000000004
91,31,7,59.0,254.0,81,9.1999999999999993
92,1,8,39.0,83.0,81,6.9000000000000004
93,2,8,9.0,24.0,81,13.800000000000001
94,3,8,16.0,77.0,82,7.4000000000000004
95,4,8,78.0,nan,86,6.9000000000000004
96,5,8,35.0,nan,85,7.4000000000000004
97,6,8,66.0,nan,87,4.5999999999999996
98,7,8,122.0,255.0,89,4.0
99,8,8,89.0,229.0,90,10.300000000000001
100,9,8,110.0,207.0,90,8.0
101,10,8,nan,222.0,92,8.5999999999999996
102,11,8,nan,137.0,86,11.5
103,12,8,44.0,192.0,86,11.5
104,13,8,28.0,273.0,82,11.5
105,14,8,65.0,157.0,80,9.6999999999999993
106,15,8,nan,64.0,79,11.5
107,16,8,22.0,71.0,77,10.300000000000001
108,17,8,59.0,51.0,79,6.2999999999999998
109,18,8,23.0,115.0,76,7.4000000000000004
110,19,8,31.0,244.0,78,10.9
111,20,8,44.0,190.0,78,10.300000000000001
112,21,8,21.0,259.0,77,15.5
113,22,8,9.0,36.0,72,14.300000000000001
114,23,8,nan,255.0,75,12.6
115,24,8,45.0,212.0,79,9.6999999999999993
116,25,8,168.0,238.0,81,3.3999999999999999
