,Day,Month,value,variable
0,1,5,41.0,'Ozone'
1,2,5,36.0,'Ozone'
2,3,5,12.0,'Ozone'
3,4,5,18.0,'Ozone'
4,5,5,nan,'Ozone'
5,6,5,28.0,'Ozone'
6,7,5,23.0,'Ozone'
7,8,5,19.0,'Ozone'
8,9,5,8.0,'Ozone'
9,10,5,nan,'Ozone'
10,11,5,7.0,'Ozone'
11,12,5,16.0,'Ozone'
12,13,5,11.0,'Ozone'
13,14,5,14.0,'Ozone'
14,15,5,18.0,'Ozone'
15,16,5,14.0,'Ozone'
16,17,5,34.0,'Ozone'
17,18,5,6.0,'Ozone'
18,19,5,30.0,'Ozone'
19,20,5,11.0,'Ozone'
20,21,5,1.0,'Ozone'
21,22,5,11.0,'Ozone'
22,23,5,4.0,'Ozone'
23,24,5,32.0,'Ozone'
24,25,5,nan,'Ozone'
25,26,5,nan,'Ozone'
26,27,5,nan,'Ozone'
27,28,5,23.0,'Ozone'
28,29,5,45.0,'Ozone'
29,30,5,115.0,'Ozone'
30,31,5,37.0,'Ozone'
31,1,6,nan,'Ozone'
32,2,6,nan,'Ozone'
33,3,6,nan,'Ozone'
34,4,6,nan,'Ozone'
35,5,6,nan,'Ozone'
36,6,6,nan,'Ozone'
37,7,6,29.0,'Ozone'
38,8,6,nan,'Ozone'
39,9,6,71.0,'Ozone'
40,10,6,39.0,'Ozone'
41,11,6,nan,'Ozone'
42,12,6,nan,'Ozone'
43,13,6,23.0,'Ozone'
44,14,6,nan,'Ozone'
45,15,6,nan,'Ozone'
46,16,6,21.0,'Ozone'
47,17,6,37.0,'Ozone'
48,18,6,20.0,'Ozone'
49,19,6,12.0,'Ozone'
50,20,6,13.0,'Ozone'
51,21,6,nan,'Ozone'
52,22,6,nan,'Ozone'
53,23,6,nan,'Ozone'
54,24,6,nan,'Ozone'
55,25,6,nan,'Ozone'
56,26,6,nan,'Ozone'
57,27,6,nan,'Ozone'
58,28,6,nan,'Ozone'
59,29,6,nan,'Ozone'
60,30,6,nan,'Ozone'
61,1,7,135.0,'Ozone'
62,2,7,49.0,'Ozone'
63,3,7,32.0,'Ozone'
64,4,7,nan,'Ozone'
65,5,7,64.0,'Ozone'
66,6,7,40.0,'Ozone'
67,7,7,77.0,'Ozone'
68,8,7,97.0,'Ozone'
69,9,7,97.0,'Ozone'
70,10,7,85.0,'Ozone'
71,11,7,nan,'Ozone'
72,12,7,10.0,'Ozone'
73,13,7,27.0,'Ozone'
74,14,7,nan,'Ozone'
75,15,7,7.0,'Ozone'
76,16,7,48.0,'Ozone'
77,17,7,35.0,'Ozone'
78,18,7,61.0,'Ozone'
79,19,7,79.0,'Ozone'
80,20,7,63.0,'Ozone'
81,21,7,16.0,'Ozone'
82,22,7,nan,'Ozone'
83,23,7,nan,'Ozone'
84,24,7,80.0,'Ozone'
85,25,7,108.0,'Ozone'
86,26,7,20.0,'Ozone'
87,27,7,52.0,'Ozone'
88,28,7,82.0,'Ozone'
89,29,7,50.0,'Ozone'
90,30,7,64.0,'Ozone'
91,31,7,59.0,'Ozone'
92,1,8,39.0,'Ozone'
93,2,8,9.0,'Ozone'
94,3,8,16.0,'Ozone'
95,4,8,78.0,'Ozone'
96,5,8,35.0,'Ozone'
97,6,8,66.0,'Ozone'
98,7,8,122.0,'Ozone'
99,8,8,89.0,'Ozone'
100,9,8,110.0,'Ozone'
101,10,8,nan,'Ozone'
102,11,8,nan,'Ozone'
103,12,8,44.0,'Ozone'
104,13,8,28.0,'Ozone'
105,14,8,65.0,'Ozone'
106,15,8,nan,'Ozone'
107,16,8,22.0,'Ozone'
108,17,8,59.0,'Ozone'
109,18,8,23.0,'Ozone'
110,19,8,31.0,'Ozone'
111,20,8,44.0,'Ozone'
112,21,8,21.0,'Ozone'
113,22,8,9.0,'Ozone'
114,23,8,nan,'Ozone'
115,24,8,45.0,'Ozone'
116,25,8,168.0,'Ozone'
117,26,8,73.0,'Ozone'
118,27,8,nan,'Ozone'
119,28,8,76.0,'Ozone'
120,29,8,118.0,'Ozone'
121,30,8,84.0,'Ozone'
122,31,8,85.0,'Ozone'
123,1,9,96.0,'Ozone'
124,2,9,78.0,'Ozone'
125,3,9,73.0,'Ozone'
126,4,9,91.0,'Ozone'
127,5,9,47.0,'Ozone'
128,6,9,32.0,'Ozone'
129,7,9,20.0,'Ozone'
130,8,9,23.0,'Ozone'
131,9,9,21.0,'Ozone'
132,10,9,24.0,'Ozone'
133,11,9,44.0,'Ozone'
134,12,9,21.0,'Ozone'
135,13,9,28.0,'Ozone'
136,14,9,9.0,'Ozone'
137,15,9,13.0,'Ozone'
138,16,9,46.0,'Ozone'
139,17,9,18.0,'Ozone'
140,18,9,13.0,'Ozone'
141,19,9,24.0,'Ozone'
142,20,9,16.0,'Ozone'
143,21,9,13.0,'Ozone'
144,22,9,23.0,'Ozone'
145,23,9,36.0,'Ozone'
146,24,9,7.0,'Ozone'
147,25,9,14.0,'Ozone'
148,26,9,30.0,'Ozone'
149,27,9,nan,'Ozone'
150,28,9,14.0,'Ozone'
151,29,9,18.0,'Ozone'
152,30,9,20.0,'Ozone'
153,1,5,190.0,'Solar.R'
154,2,5,118.0,'Solar.R'
155,3,5,149.0,'Solar.R'
156,4,5,313.0,'Solar.R'
157,5,5,nan,'Solar.R'
158,6,5,nan,'Solar.R'
159,7,5,299.0,'Solar.R'
160,8,5,99.0,'Solar.R'
161,9,5,19.0,'Solar.R'
162,10,5,194.0,'Solar.R'
163,11,5,nan,'Solar.R'
164,12,5,256.0,'Solar.R'
165,13,5,290.0,'Solar.R'
166,14,5,274.0,'Solar.R'
167,15,5,65.0,'Solar.R'
168,16,5,334.0,'Solar.R'
169,17,5,307.0,'Solar.R'
170,18,5,78.0,'Solar.R'
171,19,5,322.0,'Solar.R'
172,20,5,44.0,'Solar.R'
173,21,5,8.0,'Solar.R'
174,22,5,320.0,'Solar.R'
175,23,5,25.0,'Solar.R'
176,24,5,92.0,'Solar.R'
177,25,5,66.0,'Solar.R'
178,26,5,266.0,'Solar.R'
179,27,5,nan,'Solar.R'
180,28,5,13.0,'Solar.R'
181,29,5,252.0,'Solar.R'
182,30,5,223.0,'Solar.R'
183,31,5,279.0,'Solar.R'
184,1,6,286.0,'Solar.R'
185,2,6,287.0,'Solar.R'
186,3,6,242.0,'Solar.R'
187,4,6,186.0,'Solar.R'
188,5,6,220.0,'Solar.R'
189,6,6,264.0,'Solar.R'
190,7,6,127.0,'Solar.R'
191,8,6,273.0,'Solar.R'
192,9,6,291.0,'Solar.R'
193,10,6,323.0,'Solar.R'
194,11,6,259.0,'Solar.R'
195,12,6,250.0,'Solar.R'
196,13,6,148.0,'Solar.R'
197,14,6,332.0,'Solar.R'
198,15,6,322.0,'Solar.R'
199,16,6,191.0,'Solar.R'
200,17,6,284.0,'Solar.R'
201,18,6,37.0,'Solar.R'
202,19,6,120.0,'Solar.R'
203,20,6,137.0,'Solar.R'
204,21,6,150.0,'Solar.R'
205,22,6,59.0,'Solar.R'
206,23,6,91.0,'Solar.R'
207,24,6,250.0,'Solar.R'
208,25,6,135.0,'Solar.R'
209,26,6,127.0,'Solar.R'
210,27,6,47.0,'Solar.R'
211,28,6,98.0,'Solar.R'
212,29,6,31.0,'Solar.R'
213,30,6,138.0,'Solar.R'
214,1,7,269.0,'Solar.R'
215,2,7,248.0,'Solar.R'
216,3,7,236.0,'Solar.R'
217,4,7,101.0,'Solar.R'
218,5,7,175.0,'Solar.R'
219,6,7,314.0,'Solar.R'
220,7,7,276.0,'Solar.R'
221,8,7,267.0,'Solar.R'
222,9,7,272.0,'Solar.R'
223,10,7,175.0,'Solar.R'
224,11,7,139.0,'Solar.R'
225,12,7,264.0,'Solar.R'
226,13,7,175.0,'Solar.R'
227,14,7,291.0,'Solar.R'
228,15,7,48.0,'Solar.R'
229,16,7,260.0,'Solar.R'
230,17,7,274.0,'Solar.R'
231,18,7,285.0,'Solar.R'
232,19,7,187.0,'Solar.R'
233,20,7,220.0,'Solar.R'
234,21,7,7.0,'Solar.R'
235,22,7,258.0,'Solar.R'
236,23,7,295.0,'Solar.R'
237,24,7,294.0,'Solar.R'
238,25,7,223.0,'Solar.R'
239,26,7,81.0,'Solar.R'
240,27,7,82.0,'Solar.R'
241,28,7,213.0,'Solar.R'
242,29,7,275.0,'Solar.R'
243,30,7,253.0,'Solar.R'
244,31,7,254.0,'Solar.R'
245,1,8,83.0,'Solar.R'
246,2,8,24.0,'Solar.R'
247,3,8,77.0,'Solar.R'
248,4,8,nan,'Solar.R'
249,5,8,nan,'Solar.R'
250,6,8,nan,'Solar.R'
251,7,8,255.0,'Solar.R'
252,8,8,229.0,'Solar.R'
253,9,8,207.0,'Solar.R'
254,10,8,222.0,'Solar.R'
255,11,8,137.0,'Solar.R'
256,12,8,192.0,'Solar.R'
257,13,8,273.0,'Solar.R'
258,14,8,157.0,'Solar.R'
259,15,8,64.0,'Solar.R'
260,16,8,71.0,'Solar.R'
261,17,8,51.0,'Solar.R'
262,18,8,115.0,'Solar.R'
263,19,8,244.0,'Solar.R'
264,20,8,190.0,'Solar.R'
265,21,8,259.0,'Solar.R'
266,22,8,36.0,'Solar.R'
267,23,8,255.0,'Solar.R'
268,24,8,212.0,'Solar.R'
269,25,8,238.0,'Solar.R'
270,26,8,215.0,'Solar.R'
271,27,8,153.0,'Solar.R'
272,28,8,203.0,'Solar.R'
273,29,8,225.0,'Solar.R'
274,30,8,237.0,'Solar.R'
275,31,8,188.0,'Solar.R'
276,1,9,167.0,'Solar.R'
277,2,9,197.0,'Solar.R'
278,3,9,183.0,'Solar.R'
279,4,9,189.0,'Solar.R'
