,initial_cost,total_est_fee
0,75000,986
1,0,1144
2,30000,522.5
3,1500,225
4,19500,389.5
5,3062400,31762.4
6,10000,316.5
7,146800,1727.6
8,0,160
9,5000,265
10,21200,440.1
11,20000,419.5
12,37600,764.9
13,10000,316.5
14,3000,280
15,0,472
16,94000,1181.7
17,5000,265
18,7500,295.9
19,20000,207.25
20,1000,225
21,0,160
22,67000,1063.6
23,70000,934.5
24,0,440
25,11000,326.8
26,16000,378.3
27,41000,635.8
28,509500,5466.5
29,12238,347.4
30,3500,245
31,5000,265
32,0,157
33,30000,522.5
34,10000,316.5
35,344584,3767
36,9000,306.2
37,130000,1552.5
38,15000,368
39,0,180
40,120000,1664.5
41,0,539.44
42,19320,419.5
43,0,576.04
44,30000,522.5
45,25000,471
46,0,240
47,10000,476.5
48,0,160
49,40625,315.4
50,16108,191.8
51,0,621.04
52,0,230
53,0,170
54,85000,1089
55,10000,316.5
56,24000,460.7
57,0,180
58,10000,476.5
59,0,160
60,5000,265
61,24278,631
62,600000,6448.5
63,321520,3530.1
64,136000,1614.3
65,15000,368
66,32940,274.2
67,13200,357.7
68,0,240
69,7500,295.9
70,0,210
71,160000,1861.5
72,0,260
73,0,458.56
74,0,587.68
75,85000,1089
76,37800,604.9
77,0,200
78,6900,140.3
79,175000,2016
80,3000,225
81,19695,419.5
82,17500,398.9
83,42300,656.4
84,290000,3200.5
85,360000,3921.5
86,23920,460.7
87,12200,347.4
88,212300,3029.2
89,0,0
90,50000,728.5
91,5000,265
92,0,726.64
93,0,548.92
94,0,230
95,594000,6386.7
96,0,160
97,3000,130
98,13250,327.7
99,33750,563.7
100,173050,1000.35
101,17000,388.6
102,50000,586.59
103,47900,762.9
104,30000,522.5
105,49500,950.64
106,55700,790.3
107,600000,6448.5
108,90000,1140.5
109,51000,738.8
110,0,170
111,55000,780
112,0,0
113,5000,265
114,637600,6784.9
115,25000,471
116,0,450
117,8000,295.9
118,2000,225
119,0,160
120,105600,690.15
121,20000,419.5
122,113944,1387.7
123,43000,816.4
124,16000,186.65
125,28000,501.9
126,0,160
127,6600,285.6
128,54000,769.7
129,184033,2119
130,375000,4131
131,0,647.8
132,60000,573.25
133,32375,553.4
134,152250,1789.4
135,25000,233
136,42570,656.4
137,19764,207.25
138,20000,419.5
139,200000,2273.5
140,25000,471
141,252000,2809.1
142,51900,372.05
143,1500,225
144,229105,2582.5
145,26595,491.6
146,136523,1784.6
147,0,587.68
148,95000,1192
149,261700,2912.1
150,1066000,11193.3
151,0,599.2
152,38000,604.9
153,0,160
154,0,160
155,78470,1027.2
156,0,340
157,0,160
158,0,160
159,58050,821.2
160,9200,316.5
161,731555,7913.1
162,0,200
163,23500,460.7
164,10000,476.5
165,92700,1171.4
166,350000,3818.5
167,0,190
168,28000,501.9
169,0,200
170,0,170
171,18000,398.9
172,30000,522.5
173,73435,975.7
174,236220,2654.6
175,0,1807.88
176,502870,4361.34
177,0,160
178,187700,2149.9
179,8500,306.2
180,705000,7475
181,3000,225
182,3000,225
183,0,260
184,0,200
185,0,200
186,0,497
187,56000,790.3
188,42000,646.1
189,500000,5523.5
190,33368,563.7
191,19349,419.5
192,1221300,12800.1
193,16000,378.3
194,489000,5250.2
195,28900,512.2
196,500000,5363.5
197,0,6216
198,25000,471
199,70700,944.8
200,5600,275.3
201,29000,512.2
202,30000,320.31
203,0,160
204,5000,130
205,0,487.6
206,11000,326.8
207,0,160
208,0,130
209,0,180
210,0,160
211,344584,3767
212,0,200
213,0,420
214,17000,388.6
215,1000,225
216,0,100
217,17000,191.8
218,5000,130
219,52000,749.1
220,84000,1078.7
221,32000,543.1
222,50000,728.5
223,78000,1016.9
224,18000,398.9
225,38775,775.2
226,2000,225
227,23000,450.4
228,20000,389.5
229,344584,3767
230,0,100
231,13000,402.4
232,55000,940
233,0,528
234,0,260
235,30000,522.5
236,346600,5853.18
237,73650,975.7
238,65000,675
239,8000,295.9
240,220250,1242.4
241,20000,207.25
242,50000,728.5
243,57000,800.6
244,8000,265.9
245,324000,3550.7
246,55600,392.65
247,0,100
248,6000,275.3
249,800000,8453.5
250,0,0
251,300000,3463.5
252,5010,275.3
253,39500,625.5
254,0,3687.42
255,30000,258.75
256,0,160
257,72000,955.1
258,34800,574
259,3000,225
260,15600,378.3
261,49000,718.2
262,26444,336.42
263,6500,140.3
264,152000,1834.1
265,127000,1521.6
266,0,504
267,0,420
268,14000,357.7
269,25000,471
270,225000,2531
271,15000,368
272,58500,821.2
273,160512,1315.32
274,69000,924.2
275,22500,450.4
276,65000,853
277,3000,225
278,12500,347.4
279,0,0
280,0,160
281,3000,225
282,75000,734.3
283,12350,347.4
284,225675,2541.3
285,40000,625.5
286,20000,419.5
287,1000,225
288,0,10955.72
289,50000,728.5
290,12200,347.4
291,0,752.36
292,22500,450.4
293,68000,454.45
294,25000,471
295,46300,697.6
296,1000,225
297,0,160
298,10000,476.5
299,145870,1717.3
300,13000,347.4
301,0,615
302,8000,295.9
303,10000,316.5
304,4000,130
305,15000,368
306,35000,574
307,43000,983.06
308,0,160
309,0,740.36
310,276750,3066.6
311,100000,1243.5
312,0,0
313,18000,368.9
314,32500,434.2
315,0,784
316,0,0
317,55000,780
318,175000,1005.5
319,490980,5270.8
320,100,280
321,37700,299.95
322,0,160
323,137000,1624.6
324,10000,316.5
325,30000,522.5
326,0,170
327,23100,227.85
328,18000,398.9
329,78000,1016.9
330,10000,316.5
331,0,0
332,9200,316.5
333,0,420
334,2500,225
335,600000,6448.5
336,20000,419.5
337,0,100
338,0,0
339,138000,1634.9
340,193400,2211.7
341,12500,402.4
342,45000,677
343,57500,402.95
344,6500,285.6
345,600000,6448.5
346,1000,280
347,0,260
348,20000,419.5
349,30000,258.75
350,0,160
351,170000,1964.5
352,8000,295.9
353,41600,646.1
354,200000,1514.89
355,22960,450.4
356,55000,387.5
357,0,190
358,0,420
359,3000,130
360,99000,1233.2
361,5000,265
362,175000,2456.68
363,100000,1373.5
364,20000,419.5
365,75000,986
366,8000,295.9
367,25000,441
368,77000,500.8
369,180000,2067.5
370,30000,522.5
371,225000,2531
372,17200,398.9
373,18000,398.9
374,18000,398.9
375,8000,215.53
