,Date,Day,counts,type,country
0,1/5/2015,289,2776.0,Cases,Guinea
1,1/4/2015,288,2775.0,Cases,Guinea
2,1/3/2015,287,2769.0,Cases,Guinea
3,1/2/2015,286,,Cases,Guinea
4,12/31/2014,284,2730.0,Cases,Guinea
5,12/28/2014,281,2706.0,Cases,Guinea
6,12/27/2014,280,2695.0,Cases,Guinea
7,12/24/2014,277,2630.0,Cases,Guinea
8,12/21/2014,273,2597.0,Cases,Guinea
9,12/20/2014,272,2571.0,Cases,Guinea
10,12/18/2014,271,,Cases,Guinea
11,12/14/2014,267,2416.0,Cases,Guinea
12,12/9/2014,262,,Cases,Guinea
13,12/7/2014,260,2292.0,Cases,Guinea
14,12/3/2014,256,,Cases,Guinea
15,11/30/2014,253,2164.0,Cases,Guinea
16,11/28/2014,251,,Cases,Guinea
17,11/23/2014,246,2134.0,Cases,Guinea
18,11/22/2014,245,,Cases,Guinea
19,11/18/2014,241,2047.0,Cases,Guinea
20,11/16/2014,239,1971.0,Cases,Guinea
21,11/15/2014,238,,Cases,Guinea
22,11/11/2014,234,1919.0,Cases,Guinea
23,11/10/2014,233,,Cases,Guinea
24,11/9/2014,232,1878.0,Cases,Guinea
25,11/8/2014,231,,Cases,Guinea
26,11/4/2014,227,,Cases,Guinea
27,11/3/2014,226,1760.0,Cases,Guinea
28,11/2/2014,225,1731.0,Cases,Guinea
29,10/31/2014,222,,Cases,Guinea
30,10/29/2014,220,1667.0,Cases,Guinea
31,10/27/2014,218,1906.0,Cases,Guinea
32,10/25/2014,216,,Cases,Guinea
33,10/22/2014,214,,Cases,Guinea
34,10/21/2014,213,1553.0,Cases,Guinea
35,10/19/2014,211,1540.0,Cases,Guinea
36,10/18/2014,210,,Cases,Guinea
37,10/14/2014,206,1519.0,Cases,Guinea
38,10/13/2014,205,,Cases,Guinea
39,10/12/2014,204,1472.0,Cases,Guinea
40,10/11/2014,203,,Cases,Guinea
41,10/8/2014,200,,Cases,Guinea
42,10/7/2014,199,1350.0,Cases,Guinea
43,10/5/2014,197,1298.0,Cases,Guinea
44,10/4/2014,196,,Cases,Guinea
45,10/1/2014,193,1199.0,Cases,Guinea
46,9/28/2014,190,1157.0,Cases,Guinea
47,9/23/2014,185,1074.0,Cases,Guinea
48,9/21/2014,183,1022.0,Cases,Guinea
49,9/20/2014,182,,Cases,Guinea
50,9/19/2014,181,1008.0,Cases,Guinea
51,9/17/2014,179,,Cases,Guinea
52,9/14/2014,176,942.0,Cases,Guinea
53,9/13/2014,175,936.0,Cases,Guinea
54,9/10/2014,172,899.0,Cases,Guinea
55,9/9/2014,171,,Cases,Guinea
56,9/7/2014,169,861.0,Cases,Guinea
57,9/5/2014,167,812.0,Cases,Guinea
58,8/31/2014,162,771.0,Cases,Guinea
59,8/26/2014,157,648.0,Cases,Guinea
60,8/20/2014,151,607.0,Cases,Guinea
61,8/18/2014,149,579.0,Cases,Guinea
62,8/16/2014,147,543.0,Cases,Guinea
63,8/13/2014,144,519.0,Cases,Guinea
64,8/11/2014,142,510.0,Cases,Guinea
65,8/9/2014,140,506.0,Cases,Guinea
66,8/6/2014,137,495.0,Cases,Guinea
67,8/4/2014,135,495.0,Cases,Guinea
68,8/1/2014,132,485.0,Cases,Guinea
69,7/30/2014,129,472.0,Cases,Guinea
70,7/27/2014,126,460.0,Cases,Guinea
71,7/23/2014,123,427.0,Cases,Guinea
72,7/20/2014,120,415.0,Cases,Guinea
73,7/17/2014,117,410.0,Cases,Guinea
74,7/14/2014,114,411.0,Cases,Guinea
75,7/12/2014,112,406.0,Cases,Guinea
76,7/8/2014,108,409.0,Cases,Guinea
77,7/6/2014,106,408.0,Cases,Guinea
78,7/2/2014,102,412.0,Cases,Guinea
79,6/30/2014,100,413.0,Cases,Guinea
80,6/22/2014,92,,Cases,Guinea
81,6/20/2014,90,390.0,Cases,Guinea
82,6/19/2014,89,,Cases,Guinea
83,6/18/2014,88,390.0,Cases,Guinea
84,6/17/2014,87,,Cases,Guinea
85,6/16/2014,86,398.0,Cases,Guinea
86,6/10/2014,80,351.0,Cases,Guinea
87,6/5/2014,75,,Cases,Guinea
88,6/3/2014,73,344.0,Cases,Guinea
89,6/1/2014,71,328.0,Cases,Guinea
90,5/28/2014,67,291.0,Cases,Guinea
91,5/27/2014,66,281.0,Cases,Guinea
92,5/23/2014,62,258.0,Cases,Guinea
93,5/12/2014,51,248.0,Cases,Guinea
94,5/10/2014,49,233.0,Cases,Guinea
95,5/7/2014,46,236.0,Cases,Guinea
96,5/5/2014,44,235.0,Cases,Guinea
97,5/3/2014,42,231.0,Cases,Guinea
98,5/1/2014,40,226.0,Cases,Guinea
99,4/26/2014,35,224.0,Cases,Guinea
100,4/24/2014,33,,Cases,Guinea
101,4/23/2014,32,218.0,Cases,Guinea
