,day,sex,size,smoker,time,tip,total_bill,total_dollar
0,Sun,Female,2,No,Dinner,1.01,16.99,$16.99
1,Sun,Male,3,No,Dinner,1.66,10.34,$10.34
2,Sun,Male,3,No,Dinner,3.5,21.01,$21.01
3,Sun,Male,2,No,Dinner,3.31,23.68,$23.68
4,Sun,Female,4,No,Dinner,3.61,24.59,$24.59
5,Sun,Male,4,No,Dinner,4.71,25.29,$25.29
6,Sun,Male,2,No,Dinner,2.0,8.77,$8.77
7,Sun,Male,4,No,Dinner,3.12,26.88,$26.88
8,Sun,Male,2,No,Dinner,1.96,15.04,$15.04
9,Sun,Male,2,No,Dinner,3.23,14.78,$14.78
10,Sun,Male,2,No,Dinner,1.71,10.27,$10.27
11,Sun,Female,4,No,Dinner,5.0,35.26,$35.26
12,Sun,Male,2,No,Dinner,1.57,15.42,$15.42
13,Sun,Male,4,No,Dinner,3.0,18.43,$18.43
14,Sun,Female,2,No,Dinner,3.02,14.83,$14.83
15,Sun,Male,2,No,Dinner,3.92,21.58,$21.58
16,Sun,Female,3,No,Dinner,1.67,10.33,$10.33
17,Sun,Male,3,No,Dinner,3.71,16.29,$16.29
18,Sun,Female,3,No,Dinner,3.5,16.97,$16.97
19,Sat,Male,3,No,Dinner,3.35,20.65,$20.65
20,Sat,Male,2,No,Dinner,4.08,17.92,$17.92
21,Sat,Female,2,No,Dinner,2.75,20.29,$20.29
22,Sat,Female,2,No,Dinner,2.23,15.77,$15.77
23,Sat,Male,4,No,Dinner,7.58,39.42,$39.42
24,Sat,Male,2,No,Dinner,3.18,19.82,$19.82
25,Sat,Male,4,No,Dinner,2.34,17.81,$17.81
26,Sat,Male,2,No,Dinner,2.0,13.37,$13.37
27,Sat,Male,2,No,Dinner,2.0,12.69,$12.69
28,Sat,Male,2,No,Dinner,4.3,21.7,$21.7
29,Sat,Female,2,No,Dinner,3.0,19.65,$19.65
30,Sat,Male,2,No,Dinner,1.45,9.55,$9.55
31,Sat,Male,4,No,Dinner,2.5,18.35,$18.35
32,Sat,Female,2,No,Dinner,3.0,15.06,$15.06
33,Sat,Female,4,No,Dinner,2.45,20.69,$20.69
34,Sat,Male,2,No,Dinner,3.27,17.78,$17.78
35,Sat,Male,3,No,Dinner,3.6,24.06,$24.06
36,Sat,Male,3,No,Dinner,2.0,16.31,$16.31
37,Sat,Female,3,No,Dinner,3.07,16.93,$16.93
38,Sat,Male,3,No,Dinner,2.31,18.69,$18.69
39,Sat,Male,3,No,Dinner,5.0,31.27,$31.27
40,Sat,Male,3,No,Dinner,2.24,16.04,$16.04
41,Sun,Male,2,No,Dinner,2.54,17.46,$17.46
42,Sun,Male,2,No,Dinner,3.06,13.94,$13.94
43,Sun,Male,2,No,Dinner,1.32,9.68,$9.68
44,Sun,Male,4,No,Dinner,5.6,30.4,$30.4
45,Sun,Male,2,No,Dinner,3.0,18.29,$18.29
46,Sun,Male,2,No,Dinner,5.0,22.23,$22.23
47,Sun,Male,4,No,Dinner,6.0,32.4,$32.4
48,Sun,Male,3,No,Dinner,2.05,28.55,$28.55
49,Sun,Male,2,No,Dinner,3.0,18.04,$18.04
50,Sun,Male,2,No,Dinner,2.5,12.54,$12.54
51,Sun,Female,2,No,Dinner,2.6,10.29,$10.29
52,Sun,Female,4,No,Dinner,5.2,34.81,$34.81
53,Sun,Male,2,No,Dinner,1.56,9.94,$9.94
54,Sun,Male,4,No,Dinner,4.34,25.56,$25.56
55,Sun,Male,2,No,Dinner,3.51,19.49,$19.49
56,Sat,Male,4,Yes,Dinner,3.0,38.01,$38.01
57,Sat,Female,2,No,Dinner,1.5,26.41,$26.41
58,Sat,Male,2,Yes,Dinner,1.76,11.24,$11.24
59,Sat,Male,4,No,Dinner,6.73,48.27,$48.27
60,Sat,Male,2,Yes,Dinner,3.21,20.29,$20.29
61,Sat,Male,2,Yes,Dinner,2.0,13.81,$13.81
62,Sat,Male,2,Yes,Dinner,1.98,11.02,$11.02
63,Sat,Male,4,Yes,Dinner,3.76,18.29,$18.29
64,Sat,Male,3,No,Dinner,2.64,17.59,$17.59
65,Sat,Male,3,No,Dinner,3.15,20.08,$20.08
66,Sat,Female,2,No,Dinner,2.47,16.45,$16.45
67,Sat,Female,1,Yes,Dinner,1.0,3.07,$3.07
68,Sat,Male,2,No,Dinner,2.01,20.23,$20.23
69,Sat,Male,2,Yes,Dinner,2.09,15.01,$15.01
70,Sat,Male,2,No,Dinner,1.97,12.02,$12.02
71,Sat,Female,3,No,Dinner,3.0,17.07,$17.07
72,Sat,Female,2,Yes,Dinner,3.14,26.86,$26.86
73,Sat,Female,2,Yes,Dinner,5.0,25.28,$25.28
74,Sat,Female,2,No,Dinner,2.2,14.73,$14.73
75,Sat,Male,2,No,Dinner,1.25,10.51,$10.51
76,Sat,Male,2,Yes,Dinner,3.08,17.92,$17.92
77,Thur,Male,4,No,Lunch,4.0,27.2,$27.2
78,Thur,Male,2,No,Lunch,3.0,22.76,$22.76
79,Thur,Male,2,No,Lunch,2.71,17.29,$17.29
80,Thur,Male,2,Yes,Lunch,3.0,19.44,$19.44
81,Thur,Male,2,No,Lunch,3.4,16.66,$16.66
82,Thur,Female,1,No,Lunch,1.83,10.07,$10.07
83,Thur,Male,2,Yes,Lunch,5.0,32.68,$32.68
84,Thur,Male,2,No,Lunch,2.03,15.98,$15.98
85,Thur,Female,4,No,Lunch,5.17,34.83,$34.83
86,Thur,Male,2,No,Lunch,2.0,13.03,$13.03
87,Thur,Male,2,No,Lunch,4.0,18.28,$18.28
88,Thur,Male,2,No,Lunch,5.85,24.71,$24.71
89,Thur,Male,2,No,Lunch,3.0,21.16,$21.16
90,Fri,Male,2,Yes,Dinner,3.0,28.97,$28.97
91,Fri,Male,2,No,Dinner,3.5,22.49,$22.49
92,Fri,Female,2,Yes,Dinner,1.0,5.75,$5.75
93,Fri,Female,2,Yes,Dinner,4.3,16.32,$16.32
94,Fri,Female,2,No,Dinner,3.25,22.75,$22.75
95,Fri,Male,4,Yes,Dinner,4.73,40.17,$40.17
96,Fri,Male,2,Yes,Dinner,4.0,27.28,$27.28
97,Fri,Male,2,Yes,Dinner,1.5,12.03,$12.03
98,Fri,Male,2,Yes,Dinner,3.0,21.01,$21.01
99,Fri,Male,2,No,Dinner,1.5,12.46,$12.46
100,Fri,Female,2,Yes,Dinner,2.5,11.35,$11.35
101,Fri,Female,2,Yes,Dinner,3.0,15.38,$15.38
102,Sat,Female,3,Yes,Dinner,2.5,44.3,$44.3
103,Sat,Female,2,Yes,Dinner,3.48,22.42,$22.42
104,Sat,Female,2,No,Dinner,4.08,20.92,$20.92
105,Sat,Male,2,Yes,Dinner,1.64,15.36,$15.36
106,Sat,Male,2,Yes,Dinner,4.06,20.49,$20.49
107,Sat,Male,2,Yes,Dinner,4.29,25.21,$25.21
108,Sat,Male,2,No,Dinner,3.76,18.24,$18.24
109,Sat,Female,2,Yes,Dinner,4.0,14.31,$14.31
110,Sat,Male,2,No,Dinner,3.0,14.0,$14.0
111,Sat,Female,1,No,Dinner,1.0,7.25,$7.25
112,Sun,Male,3,No,Dinner,4.0,38.07,$38.07
113,Sun,Male,2,No,Dinner,2.55,23.95,$23.95
114,Sun,Female,3,No,Dinner,4.0,25.71,$25.71
115,Sun,Female,2,No,Dinner,3.5,17.31,$17.31
116,Sun,Male,4,No,Dinner,5.07,29.93,$29.93
117,Thur,Female,2,No,Lunch,1.5,10.65,$10.65
118,Thur,Female,2,No,Lunch,1.8,12.43,$12.43
119,Thur,Female,4,No,Lunch,2.92,24.08,$24.08
120,Thur,Male,2,No,Lunch,2.31,11.69,$11.69
121,Thur,Female,2,No,Lunch,1.68,13.42,$13.42
122,Thur,Male,2,No,Lunch,2.5,14.26,$14.26
123,Thur,Male,2,No,Lunch,2.0,15.95,$15.95
124,Thur,Female,2,No,Lunch,2.52,12.48,$12.48
125,Thur,Female,6,No,Lunch,4.2,29.8,$29.8
126,Thur,Male,2,No,Lunch,1.48,8.52,$8.52
127,Thur,Female,2,No,Lunch,2.0,14.52,$14.52
128,Thur,Female,2,No,Lunch,2.0,11.38,$11.38
129,Thur,Male,3,No,Lunch,2.18,22.82,$22.82
130,Thur,Male,2,No,Lunch,1.5,19.08,$19.08
131,Thur,Female,2,No,Lunch,2.83,20.27,$20.27
132,Thur,Female,2,No,Lunch,1.5,11.17,$11.17
133,Thur,Female,2,No,Lunch,2.0,12.26,$12.26
134,Thur,Female,2,No,Lunch,3.25,18.26,$18.26
135,Thur,Female,2,No,Lunch,1.25,8.51,$8.51
136,Thur,Female,2,No,Lunch,2.0,10.33,$10.33
137,Thur,Female,2,No,Lunch,2.0,14.15,$14.15
138,Thur,Male,2,Yes,Lunch,2.0,16.0,$16.0
139,Thur,Female,2,No,Lunch,2.75,13.16,$13.16
140,Thur,Female,2,No,Lunch,3.5,17.47,$17.47
141,Thur,Male,6,No,Lunch,6.7,34.3,$34.3
142,Thur,Male,5,No,Lunch,5.0,41.19,$41.19
143,Thur,Female,6,No,Lunch,5.0,27.05,$27.05
144,Thur,Female,2,No,Lunch,2.3,16.43,$16.43
145,Thur,Female,2,No,Lunch,1.5,8.35,$8.35
146,Thur,Female,3,No,Lunch,1.36,18.64,$18.64
