,Date,Temperature
0,20100101 00:00,46.2
1,20100101 01:00,44.6
2,20100101 02:00,44.1
3,20100101 03:00,43.8
4,20100101 04:00,43.5
5,20100101 05:00,43.0
6,20100101 06:00,43.1
7,20100101 07:00,42.3
8,20100101 08:00,42.5
9,20100101 09:00,45.9
10,20100101 10:00,49.4
11,20100101 11:00,52.4
12,20100101 12:00,54.9
13,20100101 13:00,57.1
14,20100101 14:00,58.4
15,20100101 15:00,59.1
16,20100101 16:00,59.1
17,20100101 17:00,58.0
18,20100101 18:00,54.5
19,20100101 19:00,51.3
20,20100101 20:00,49.2
21,20100101 21:00,48.1
22,20100101 22:00,47.2
23,20100101 23:00,46.4
24,20100102 00:00,46.5
25,20100102 01:00,44.9
26,20100102 02:00,44.4
27,20100102 03:00,44.1
28,20100102 04:00,43.9
29,20100102 05:00,43.3
30,20100102 06:00,43.5
31,20100102 07:00,42.6
32,20100102 08:00,42.8
33,20100102 09:00,46.3
34,20100102 10:00,49.9
35,20100102 11:00,53.0
36,20100102 12:00,55.5
37,20100102 13:00,57.7
38,20100102 14:00,59.0
39,20100102 15:00,59.7
40,20100102 16:00,59.7
41,20100102 17:00,58.6
42,20100102 18:00,55.1
43,20100102 19:00,51.8
44,20100102 20:00,49.8
45,20100102 21:00,48.6
46,20100102 22:00,47.6
47,20100102 23:00,46.8
48,20100103 00:00,46.8
49,20100103 01:00,45.2
50,20100103 02:00,44.7
51,20100103 03:00,44.5
52,20100103 04:00,44.1
53,20100103 05:00,43.4
54,20100103 06:00,43.7
55,20100103 07:00,42.8
56,20100103 08:00,43.0
57,20100103 09:00,46.4
58,20100103 10:00,49.9
59,20100103 11:00,53.1
60,20100103 12:00,55.6
61,20100103 13:00,57.8
62,20100103 14:00,59.1
63,20100103 15:00,59.8
64,20100103 16:00,59.8
65,20100103 17:00,58.6
66,20100103 18:00,55.2
67,20100103 19:00,51.8
68,20100103 20:00,49.7
69,20100103 21:00,48.5
70,20100103 22:00,47.5
71,20100103 23:00,46.6
72,20100104 00:00,46.6
73,20100104 01:00,45.0
74,20100104 02:00,44.5
75,20100104 03:00,44.3
76,20100104 04:00,43.9
77,20100104 05:00,43.2
78,20100104 06:00,43.4
79,20100104 07:00,42.6
80,20100104 08:00,42.9
81,20100104 09:00,46.3
82,20100104 10:00,49.8
83,20100104 11:00,52.9
84,20100104 12:00,55.4
85,20100104 13:00,57.6
86,20100104 14:00,59.0
87,20100104 15:00,59.7
88,20100104 16:00,59.7
89,20100104 17:00,58.5
90,20100104 18:00,55.1
91,20100104 19:00,51.6
92,20100104 20:00,49.5
93,20100104 21:00,48.3
94,20100104 22:00,47.3
95,20100104 23:00,46.4
96,20100105 00:00,46.5
97,20100105 01:00,44.9
98,20100105 02:00,44.5
99,20100105 03:00,44.3
100,20100105 04:00,43.9
101,20100105 05:00,43.2
102,20100105 06:00,43.5
103,20100105 07:00,42.7
104,20100105 08:00,43.0
105,20100105 09:00,46.4
106,20100105 10:00,49.9
107,20100105 11:00,53.0
108,20100105 12:00,55.6
109,20100105 13:00,57.8
110,20100105 14:00,59.2
111,20100105 15:00,59.9
112,20100105 16:00,59.9
113,20100105 17:00,58.7
114,20100105 18:00,55.3
115,20100105 19:00,51.8
116,20100105 20:00,49.7
117,20100105 21:00,48.5
118,20100105 22:00,47.5
119,20100105 23:00,46.5
120,20100106 00:00,46.8
121,20100106 01:00,45.2
122,20100106 02:00,44.6
123,20100106 03:00,44.4
