,Date,Temperature
0,2013-03-01,28
1,2013-03-02,26
2,2013-03-03,24
3,2013-03-04,28
4,2013-03-05,32
5,2013-03-06,34
6,2013-03-07,36
7,2013-03-08,32
8,2013-03-09,40
9,2013-03-10,55
10,2013-03-11,55
11,2013-03-12,40
12,2013-03-13,32
13,2013-03-14,30
14,2013-03-15,38
15,2013-03-16,36
16,2013-03-17,32
17,2013-03-18,34
18,2013-03-19,36
19,2013-03-20,32
20,2013-03-21,22
21,2013-03-22,28
22,2013-03-23,34
23,2013-03-24,34
24,2013-03-25,32
25,2013-03-26,34
26,2013-03-27,34
27,2013-03-28,37
28,2013-03-29,43
29,2013-03-30,43
30,2013-03-31,44
