,Dew Point (deg F),Pressure (atm),Temperature (deg F)
0,70.8,1.0,79.0
1,71.2,1.0,77.4
2,71.3,1.0,76.4
3,71.4,1.0,75.7
4,71.4,1.0,75.1
5,71.3,1.0,74.6
6,71.3,1.0,74.5
7,72.3,1.0,76.0
8,72.8,1.0,79.8
9,72.1,1.0,83.3
10,71.1,1.0,86.6
11,70.2,1.0,89.3
12,69.1,1.0,91.6
13,68.4,1.0,93.2
14,67.6,1.0,94.4
15,67.1,1.0,95.0
16,66.8,1.0,94.8
17,66.9,1.0,93.9
18,66.7,1.0,92.4
19,67.7,1.0,89.9
20,68.6,1.0,86.1
21,69.5,1.0,83.6
22,70.3,1.0,81.8
23,70.7,1.0,80.0
24,70.8,1.0,79.1
25,71.2,1.0,77.4
26,71.3,1.0,76.5
27,71.4,1.0,75.8
28,71.5,1.0,75.2
29,71.4,1.0,74.6
30,71.3,1.0,74.6
31,72.3,1.0,76.1
32,72.8,1.0,79.8
33,72.1,1.0,83.3
34,71.1,1.0,86.5
35,70.1,1.0,89.4
36,69.1,1.0,91.6
37,68.3,1.0,93.2
38,67.6,1.0,94.4
39,67.0,1.0,95.0
40,66.7,1.0,94.8
41,66.8,1.0,93.9
42,66.6,1.0,92.4
43,67.7,1.0,89.8
44,68.5,1.0,86.1
45,69.4,1.0,83.6
46,70.2,1.0,81.8
47,70.7,1.0,80.1
48,70.8,1.0,79.1
49,71.2,1.0,77.5
50,71.3,1.0,76.5
51,71.4,1.0,75.8
52,71.4,1.0,75.2
53,71.3,1.0,74.6
54,71.3,1.0,74.5
55,72.3,1.0,76.0
56,72.8,1.0,79.8
57,72.2,1.0,83.4
58,71.1,1.0,86.6
59,70.1,1.0,89.4
60,69.1,1.0,91.7
61,68.3,1.0,93.3
62,67.5,1.0,94.5
63,67.0,1.0,95.1
64,66.7,1.0,94.9
65,66.8,1.0,94.1
66,66.5,1.0,92.5
67,67.6,1.0,89.8
68,68.6,1.0,86.0
69,69.4,1.0,83.5
70,70.2,1.0,81.9
71,70.6,1.0,80.1
72,70.8,1.0,79.2
73,71.1,1.0,77.6
74,71.3,1.0,76.6
75,71.4,1.0,75.9
76,71.4,1.0,75.3
77,71.3,1.0,74.7
78,71.2,1.0,74.6
79,72.3,1.0,76.0
80,72.8,1.0,79.9
81,72.1,1.0,83.5
82,71.0,1.0,86.7
83,70.1,1.0,89.5
84,69.1,1.0,91.9
85,68.3,1.0,93.4
86,67.5,1.0,94.6
87,67.0,1.0,95.1
88,66.7,1.0,95.0
89,66.8,1.0,94.1
90,66.6,1.0,92.5
91,67.7,1.0,89.7
92,68.6,1.0,86.0
93,69.4,1.0,83.5
94,70.1,1.0,81.9
95,70.6,1.0,80.2
96,70.7,1.0,79.2
97,71.1,1.0,77.6
98,71.3,1.0,76.6
99,71.4,1.0,75.9
100,71.4,1.0,75.3
101,71.3,1.0,74.7
102,71.2,1.0,74.6
103,72.2,1.0,76.1
104,72.8,1.0,79.8
105,72.2,1.0,83.4
106,71.1,1.0,86.6
107,70.1,1.0,89.5
108,69.1,1.0,91.9
109,68.3,1.0,93.4
110,67.6,1.0,94.5
111,67.0,1.0,95.1
112,66.7,1.0,94.9
113,66.9,1.0,94.1
114,66.6,1.0,92.4
115,67.7,1.0,89.6
116,68.6,1.0,85.9
117,69.4,1.0,83.4
118,70.0,1.0,81.8
119,70.5,1.0,80.1
120,70.7,1.0,79.2
121,71.1,1.0,77.6
122,71.2,1.0,76.6
123,71.3,1.0,75.9
124,71.3,1.0,75.3
125,71.2,1.0,74.6
126,71.1,1.0,74.6
127,72.1,1.0,76.0
128,72.7,1.0,79.7
129,72.1,1.0,83.4
130,71.1,1.0,86.6
131,70.1,1.0,89.5
132,69.0,1.0,91.8
133,68.3,1.0,93.4
134,67.6,1.0,94.5
135,67.0,1.0,95.2
136,66.7,1.0,95.0
137,66.8,1.0,94.1
138,66.6,1.0,92.5
139,67.6,1.0,89.6
140,68.5,1.0,85.9
141,69.3,1.0,83.4
142,69.9,1.0,81.8
143,70.5,1.0,80.0
144,70.6,1.0,79.2
145,71.0,1.0,77.5
146,71.2,1.0,76.5
147,71.3,1.0,75.8
148,71.3,1.0,75.2
149,71.1,1.0,74.6
150,71.0,1.0,74.6
151,72.1,1.0,76.0
152,72.7,1.0,79.7
153,72.2,1.0,83.3
154,71.1,1.0,86.5
155,70.1,1.0,89.4
156,69.1,1.0,91.8
157,68.4,1.0,93.4
158,67.6,1.0,94.5
159,67.0,1.0,95.3
160,66.7,1.0,95.0
161,66.9,1.0,94.1
162,66.7,1.0,92.4
163,67.7,1.0,89.5
164,68.7,1.0,85.8
165,69.4,1.0,83.3
166,69.9,1.0,81.7
167,70.5,1.0,80.0
168,70.6,1.0,79.2
169,71.0,1.0,77.5
