,0,1,2,3,4,5,6,7,8,9,10,11,12,target
0,34811059,2.73,0.1,3.328944661,24.5962,12314,129.9049,29.5,0,0,1,0,0,75.299999999999997
1,19842251,6.43,2,1.474353388,22.25083,7103,130.1247,192,0,0,0,0,1,58.299999999999997
2,40381860,2.24,0.5,4.785169983,27.5017,14646,118.8915,15.4,0,0,0,0,0,75.5
3,2975029,1.4,0.1,1.804106217,25.35542,7383,132.8108,20,0,1,0,0,0,72.5
4,21370348,1.96,0.1,18.01631327,27.56373,41312,117.3755,5.2,1,0,0,0,0,81.5
5,8331465,1.41,0.3,8.183160018,26.46741,43952,124.1394,4.6,0,1,0,0,0,80.400000000000006
6,8868713,1.99,0.1,5.109538292,25.65117,14365,128.6024,43.3,0,1,0,0,0,70.599999999999994
7,348587,1.89,3.1,3.131921321,27.24594,24373,124.3862,14.5,0,0,0,0,0,72.200000000000003
8,148252473,2.38,0.06,0.319161002,20.39742,2265,125.0307,55.9,0,0,0,1,0,68.400000000000006
9,277315,1.83,1.3,6.008278835,26.38439,16075,126.394,15.4,0,0,0,0,0,75.299999999999997
10,9526453,1.42,0.2,6.48817388,26.16443,14488,129.7968,7.2,0,1,0,0,0,70.099999999999994
11,10779155,1.82,0.2,9.797336714,26.75915,41641,121.8227,4.7,0,1,0,0,0,79.400000000000006
12,306165,2.91,2.4,1.36012592,27.02255,8293,120.9224,20.1,0,0,0,0,0,70.700000000000003
13,8973525,5.27,1.2,0.537539184,22.41835,1646,130.2723,116.3,0,0,0,0,1,63.200000000000003
14,694990,2.51,0.2,0.60121031,22.8218,5663,125.1258,48.1,0,0,0,1,0,67.599999999999994
15,9599916,3.48,0.2,1.43182915,24.43335,5066,122.4155,52,0,0,0,0,0,70.900000000000006
16,1967866,2.86,24.9,2.547205492,22.12984,13858,133.1307,63.8,0,0,0,0,1,61.200000000000003
17,194769696,1.9,0.45,2.023772836,25.78623,13906,124.8745,18.6,0,0,0,0,0,73.900000000000006
18,7513646,1.43,0.1,6.690139082,26.54286,15368,128.4721,13.7,0,1,0,0,0,73.200000000000003
19,14709011,6.04,1.2,0.109419171,21.27157,1358,130.6651,130.4,0,0,0,0,1,59.399999999999999
20,8821795,6.48,3.5,0.031388801,21.50291,723,134.1955,108.6,0,0,0,0,1,57.399999999999999
