,aid,budget,crime,duty_free_exports,eaa_rsa,education,immigration,infants,missile,party,physician,religious,salvador,satellite,superfund,synfuels,water
0,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,?,1
1,0,0,1,0,?,1,0,0,0,'republican',1,1,1,0,1,0,1
2,0,1,1,0,0,0,0,?,0,'democrat',?,1,1,0,1,1,1
3,0,1,0,0,1,0,0,0,0,'democrat',0,1,?,0,1,1,1
4,0,1,1,1,1,?,0,1,0,'democrat',0,1,1,0,1,1,1
5,0,1,1,1,1,0,0,0,0,'democrat',0,1,1,0,1,0,1
6,0,0,1,1,1,0,0,0,0,'democrat',1,1,1,0,?,0,1
7,0,0,1,?,1,0,0,0,0,'republican',1,1,1,0,1,0,1
8,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
9,1,1,0,?,?,0,0,1,1,'democrat',0,0,0,1,0,0,1
10,0,0,1,0,0,?,0,0,0,'republican',1,0,1,0,1,?,1
11,0,0,1,?,?,?,0,0,0,'republican',1,1,1,0,1,1,1
12,1,1,0,?,?,0,0,0,1,'democrat',0,0,0,1,1,0,1
13,1,1,0,1,?,?,1,1,?,'democrat',0,1,0,1,0,1,1
14,0,0,?,0,?,1,0,0,0,'republican',1,1,1,0,?,0,1
15,0,0,?,0,?,1,1,0,0,'republican',1,1,1,0,1,0,1
16,1,1,0,0,1,1,1,1,?,'democrat',0,1,0,0,?,1,0
17,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,1,0,?
18,0,0,1,0,0,?,0,0,0,'republican',1,1,1,0,1,0,1
19,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,1
20,1,1,0,1,1,0,0,1,0,'democrat',0,?,0,1,0,1,1
21,1,1,?,1,1,0,0,1,1,'democrat',0,0,0,1,?,0,1
22,1,1,0,1,1,?,0,1,1,'democrat',0,0,0,1,0,0,?
23,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
24,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,0
25,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
26,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,0
27,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,1
28,1,0,1,0,1,1,0,1,1,'republican',1,0,1,1,1,0,0
29,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,1
30,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,1
31,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,1,1
32,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,1,0,1
33,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
34,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
35,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,1
36,0,0,1,0,1,1,1,1,0,'republican',1,1,1,0,?,0,?
37,0,0,1,0,1,0,0,1,0,'republican',1,1,1,0,1,0,1
38,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,1
39,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,1,1,0
40,1,1,0,0,?,0,0,1,1,'democrat',0,0,0,1,0,?,1
41,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,1
42,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
43,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
44,1,1,0,0,?,0,0,1,1,'democrat',0,0,0,1,0,1,1
45,1,1,0,1,?,0,0,1,?,'democrat',0,0,0,1,0,1,1
46,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
47,1,1,0,0,?,0,0,1,?,'democrat',0,0,0,1,0,0,0
48,1,1,1,0,1,0,0,1,0,'democrat',0,0,0,1,0,0,1
49,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,?
50,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,1
51,?,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
52,1,1,0,?,?,0,0,1,1,'democrat',0,0,0,1,0,0,1
53,0,0,1,0,0,1,1,1,0,'republican',1,1,1,0,1,0,1
54,1,1,1,0,?,1,0,1,0,'democrat',0,1,0,?,0,1,1
55,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,1,1
56,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,1,1
57,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,1
58,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,1
59,0,0,1,0,?,1,1,0,0,'republican',1,1,1,0,1,0,1
60,1,1,0,1,?,0,1,1,1,'democrat',0,?,0,1,0,0,1
61,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,1
62,1,1,0,0,?,0,0,1,1,'democrat',0,0,0,1,0,0,1
63,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,1,1
64,1,1,0,0,1,?,0,1,1,'democrat',0,0,0,1,0,1,1
65,0,0,1,0,1,1,0,1,0,'republican',1,1,1,1,1,0,1
66,0,0,1,0,1,1,0,0,0,'republican',1,1,1,1,1,1,1
67,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,1
68,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,1,0,?
69,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
70,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,1,0,0
71,1,1,1,0,1,0,1,1,1,'republican',1,0,0,1,0,1,1
72,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,1,1
