,aid,budget,crime,duty_free_exports,eaa_rsa,education,immigration,infants,missile,physician,religious,salvador,satellite,superfund,synfuels,water,party
0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,"'democrat',"
3,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,"'democrat',"
4,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,"'democrat',"
5,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,"'democrat',"
6,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,"'democrat',"
7,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,"'republican',"
8,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
9,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
10,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,"'republican',"
11,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,"'republican',"
12,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,"'democrat',"
13,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,"'democrat',"
14,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
15,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
16,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,"'democrat',"
17,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,"'democrat',"
18,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,"'republican',"
19,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
20,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,"'democrat',"
21,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,"'democrat',"
22,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
23,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
24,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
25,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
26,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,"'democrat',"
27,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
28,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,"'republican',"
29,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
30,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
31,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
32,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,"'democrat',"
33,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
34,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
35,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
36,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,"'republican',"
37,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,"'republican',"
38,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
39,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,"'democrat',"
40,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
41,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
42,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
43,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
44,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
45,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
46,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
47,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
48,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,"'democrat',"
49,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
50,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
51,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
52,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
53,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,"'republican',"
54,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,"'democrat',"
55,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,"'republican',"
56,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,"'republican',"
