,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Unnamed: 0
0,nan,nan,'NO_LABEL','Care and Upkeep of Building Services','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Operation and Maintenance of Plant Services','Non-Certificated Salaries And Wages','TITLE I CARRYOVER ',nan,nan,nan,-8291.8600000000006,198
1,nan,nan,'Student Transportation','STUDENT TRANSPORT SERVICE','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','PUPIL TRANSPORTATION','Non-School','Shared Services','NO_LABEL','PUPIL TRANSPORTATION',nan,nan,nan,nan,nan,618.29000000000019,209
2,1.0,nan,'Teacher Compensation',nan,'General Purpose School','TCHER 5TH GRADE',nan,'Personal Services - Teachers','Base Salary/Compensation','PreK-12 Operating','TEACHER','Teacher','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',49768.82,750
3,nan,'Instruction And Curriculum','NO_LABEL','Instruction','General Operating Fund',nan,nan,'General Supplies','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'NO_LABEL','NO_LABEL','NO_LABEL',nan,'General Supplies',nan,nan,nan,nan,-1.02,931
4,nan,nan,'NO_LABEL','Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplies and Materials','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Community Services','Supplies And Materials',' TITLE I PI+HOMELESS',nan,nan,nan,2304.4299999999998,1524
5,nan,nan,'Enrichment','BASIC (FEFP K-12)             ','GENERAL FUND                  ','COACHING SUPPLEMENT PAY       ','School ','ATHLETIC SUPPLEMENTS          ','Other Compensation/Stipend','PreK-12 Operating',nan,'Club Advisor/Coach','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,1505.8499999999999,1770
6,nan,nan,'Professional Development','INST STAFF TRAINING SVCS      ','GENERAL FUND                  ',nan,'School ','CONFERENCE REGISTRATION       ','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,2400.5900000000001,1951
7,nan,nan,'Physical Health & Services','IDEA ARRA',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Speech Therapist','NO_LABEL','SPECIAL EDUCATION-S/L-ATRT','Non-School','School on Central Budgets','Special Education','ARRA - STIMULUS',nan,'SPECIAL EDUCATION',nan,'n/a',nan,228.56999999999999,2542
8,1.0,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',"'MANAGER, GEOGRAPHIC INFO SYTMS'",'CHIEF OF OPERATIONS           ','OTHER SUPPORT PERSONNEL       ','Base Salary/Compensation','PreK-12 Operating',nan,'Coordinator/Manager','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,nan,nan,nan,nan,104807.51108700001,2640
9,nan,nan,'Social & Emotional','EMPLOYEE RETIREMENT',nan,'Social Worker ',nan,'RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Social Worker','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,1086.75,2939
10,nan,nan,'Extended Time & Tutoring','NON-PROJECT',nan,"'Teacher, Elementary '",nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Teacher','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-894.71999999999969,3029
11,nan,nan,'Substitute Compensation','UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Turnaround',nan,2.8300000000000001,3395
12,nan,nan,'Other Compensation','NON-PROJECT',nan,'Geographic Systems Analyst ','PLANNING AND INNOVATION','CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-215.13,4490
13,nan,nan,'Teacher Compensation','SPECIAL ED. - SEVERE NEEDS',nan,"'Teacher,Spec Ed Center Prg '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','SPECIAL EDUCATION-HD MIDDLE','School','School Reported','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,1863.98648,4593
14,nan,nan,'Teacher Compensation','ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','GENERAL K-8 EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3730.4429599999999,5050
15,nan,nan,'NO_LABEL','Other Support Services - Pupils','Miscellaneous Federal Grants',nan,nan,'Office Supplies','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services--Pupils','General Supplies *','CHILD CARE',nan,nan,nan,-2048.98,5066
16,0.049164870689699991,nan,'Student Assignment','NON-PROJECT',nan,'Temporary Employee ','SCHOOL CHOICE','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL',"'PLANNING,RESEARCH,DEVELOPMENT'",'Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,1671.14389037,5370
17,0.5,nan,'Teacher Compensation',nan,'General Fund','Teacher-Instructional Support',nan,nan,'NO_LABEL','PreK-12 Operating',nan,'Teacher','NO_LABEL','Misc','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,47626.139999999999,5916
18,0.0,'TIME CARD','Physical Health & Services',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Health Services','Base Salary/Compensation','PreK-12 Operating','TIME CARD CERTIFIED','Other','Non PreK',"""Principal's Office""",'Non-School','School on Central Budgets','Special Education',nan,nan,nan,nan,nan,'Special Education Support',188.16990000000001,6029
19,nan,'Athletic Department','Enrichment','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION,BUS DR. SPEC.ED'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','ATHLETIC OPTIONAL PAY','Other','Non PreK','Athletics And Related Activities','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','GAME WORK',nan,nan,'Game Workers',1095.52,6054
20,nan,nan,'NO_LABEL','Care and Upkeep of Building Services','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Overtime *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Operation and Maintenance of Plant Services','Non-Certificated Salaries And Wages','PARENT INVOLVEMENT',nan,nan,nan,-348.88,6730
21,nan,'Finance Department',"'Finance, Budget, Purchasing & Distribution'",'General Administration','General Operating Fund',nan,'Administration - No Description Provided','Travel And Subsistence - Employee Only','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified',nan,'Travel And Subsistence - Employee Only',nan,nan,nan,nan,23689.93,6794
22,nan,'Instruction And Curriculum','NO_LABEL','Instruction',"'""Title  Part A Improving Basic Programs""'","'CLASSROOM AIDE, REGULAR'",'Summer School','Salaries Or Wages For Support Personnel','NO_LABEL','Non-Operating','AIDE','NO_LABEL','NO_LABEL',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'NO_LABEL','NO_LABEL','NO_LABEL',"'""Title  Part A Improving Basic Programs""'",'Salaries Or Wages For Support Personnel','EXTENDED YEAR',nan,nan,nan,351.22000000000003,7041
23,nan,nan,'Physical Health & Services','SPECIAL EDUCATION - ITINERANT',nan,'Physical Therapist ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Physical Therapist','NO_LABEL','SPECIAL EDUCATION-PT','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SPEECH & LANGUAGE','n/a',nan,4816.0600000000004,7151
24,nan,nan,'Instructional Materials & Supplies','INSTRUCTION','General Fund',nan,nan,'SUPPLIES','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','PRIMARY GRADES PROGRAM ','School','School Reported','NO_LABEL','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,5011.3800000000001,8384
25,nan,nan,'Professional Development','IMPROVEMENT OF INSTR SERV','Vocational Education-Federal Funded',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE','Equipment & Equipment Lease','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Vocational  Grant-Program Improvement.','School','School Reported','NO_LABEL','PROGRAM IMPROVEMENT INSTR',nan,nan,nan,nan,nan,244.78,8468
26,nan,nan,'Enrichment','BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, ASD                  '",'School ','ALL OTHER SUPPLEMENTS         ','Other Compensation/Stipend','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'School','School Reported','Special Education',nan,nan,nan,nan,nan,nan,745.39999999999998,8815
27,nan,'Transportation Department','Student Transportation','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DR., RADIO'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','EXTENDED DAYS',nan,nan,'transportation - Second Runs',1752.45,8960
28,0.0,nan,'Other Compensation','BASIC (FEFP K-12)             ','GENERAL FUND                  ','CLERICAL/TCHR ASST SUB        ','School ','OTHER PERSONAL SERVICES       ','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,533.01999999999998,9722
29,nan,'Instruction And Curriculum','Extended Time & Tutoring','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','Poverty',"'""Title  School Improvement""'",'Extended Day','EXTENDED DAYS',nan,nan,nan,77.943278028599991,10876
30,nan,nan,'Career & Academic Counseling','NON-PROJECT',nan,"'School Counselor, High Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Guidance Counselor','NO_LABEL','GUIDANCE SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,-168.93791999999999,10885
31,nan,nan,'Other Non-Compensation','READ TO ACHIEVE ROUND THREE',nan,'(blank)',nan,'OTHER PROFESSIONAL SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','STATE AND LOCAL GDPG FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,26986.009999999998,11087
32,nan,nan,'Facilities & Maintenance',nan,'LOCAL FUND',nan,'ARTS CENTER','SUNDAY PAY','Rent/Utilities','PreK-12 Operating','ADDITIONAL GROSS PAY','Non-Position','NO_LABEL','NON-INSTRUCTIONAL SUPPORT SERVICES','Non-School','Leadership & Management','Unspecified','LOCAL',nan,nan,'PUBLIC UTILITIES',nan,nan,251.63999999999999,11147
33,nan,nan,'Facilities & Maintenance','MAINTENANCE AND OPERATING','General Fund',nan,nan,'ENERGY','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','School','School Reported','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,252884.29000000001,11678
34,nan,'Instruction And Curriculum','NO_LABEL','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'Summer School','Salaries And Wages For Teachers And Other Professi','NO_LABEL','Non-Operating','TEACHER BACHELOR','NO_LABEL','NO_LABEL',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'NO_LABEL','NO_LABEL','NO_LABEL',"'""Title  Part A Improving Basic Programs""'",'Extended Year','EXTENDED YEAR',nan,nan,nan,1734.2611999600001,11684
35,0.33334036298600001,nan,'Human Resources','EMPLOYEE BENEFITS',nan,'Project Coordinator ','EMPLOYEE BENEFITS','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-OTHER','Coordinator/Manager','NO_LABEL','STAFF SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'CENTRAL','EMPLOYEE BENEFITS','n/a',nan,23859.562407400001,11690
36,nan,nan,'NO_LABEL','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Supplies And Materials','ITEMS-VARIOUS GRANTS',nan,nan,nan,4569.9300000000003,12451
37,0.059375511317200001,nan,'Food Services','NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','FOOD PREPARATION/SERVING','School','School Reported','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,998.72173150699996,12517
38,nan,'All Campus Payroll','Teacher Compensation','Instruction','General Operating Fund',"'TEACHER, BILINGUAL KINDERGATN'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK','Bilingual Education And Special Language Programs','School','School Reported','ELL','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,4170.7739337399998,13009
39,nan,nan,'Physical Health & Services','TITLE VI-IDEA B-MAIN',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Speech Therapist','NO_LABEL','SPECIAL EDUCATION-S/L','Non-School','School on Central Budgets','Special Education','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,56.25,13519
40,nan,nan,'School Supervision','NON-PROJECT',nan,"'Supt, Instructional '",'ALTERNATIVE ED / CONSTITUENCY','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','ADMINISTRATOR','Area Officers','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','ALTERNATIVE ED / CONSTITUENCY','n/a',nan,3032.96,13826
41,nan,nan,'Instructional Materials & Supplies','INSTRUCTION','General Fund',nan,nan,'SUPPLIES','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','PRIMARY GRADES EARLY INTERVENTION PROGRAM  ','School','School Reported','NO_LABEL','PRIMARY EARLY INTERVENTION PROG ',nan,nan,nan,nan,nan,196.15000000000001,14165
42,nan,'Instruction And Curriculum','Extended Time & Tutoring','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','Poverty',"'""Title  Part A Improving Basic Programs""'",'Extended Day','EXTENDED DAYS',nan,nan,nan,260.47000544500003,14198
43,nan,nan,'Professional Development','IDEA ARRA',nan,"'Teacher,Spec Ed Center Prg '",'SPECIAL EDUCATION','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Shared Services','Special Education','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,96.590239999999994,15327
44,nan,nan,'Aides Compensation','SPECIAL ED. - SEVERE NEEDS',nan,'Elementary Spec Ed Para ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','TA','NO_LABEL','SPECIAL EDUCATION','School','School Reported','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,301.24000000000001,15447
45,nan,nan,'Student Assignment','NON-PROJECT',nan,"'Specialist, New Schools '",'SCHOOL CHOICE','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL',"'PLANNING,RESEARCH,DEVELOPMENT'",'Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,2591.1999999999998,16717
46,nan,nan,'Social & Emotional','NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Social Worker','NO_LABEL','SOCIAL WORK SERVICES','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,511.52999999999997,17185
47,1.0,nan,'Physical Health & Services',nan,'General Fund','Clinic Assistant',nan,nan,'NO_LABEL','PreK-12 Operating','CLINIC ASSISTANT ','Nurse Aide','NO_LABEL','NURSES','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,26960.201638400002,17770
48,0.01,'All Campus Payroll','Data Processing & Information Services','Instructional Resources And Media Services','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER BACHELOR','Other','Non PreK','Undistributed','School','School Reported','Unspecified','Operations','Allotment Supplement (Career Ladder) Supplement','REGULAR PAY',nan,nan,'Undistributed',962.651340602,17783
49,nan,nan,'Teacher Compensation','ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,5000.8800000000001,17941
50,nan,nan,'Aides Compensation','Innovation Grant',nan,'Early Childhood Education ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','TA','PreK','GENERAL K-8 EDUCATION','School','School Reported','PreK','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2191.5599999999999,18757
51,0.52455539006899998,nan,'Food Services','NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','FOOD PREPARATION/SERVING','School','School Reported','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,7174.6817473600004,18770
52,0.044436657405599995,nan,'Aides Compensation','SPECIAL ED - EARLY CHILDHOOD',nan,'Summer School Para ','SUMMER SCHOOL - ELEMENTARY SCH','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','TA','NO_LABEL','SPECIAL EDUCATION','Non-School','Shared Services','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SPECIAL ED SYSTEMWIDE COSTS','n/a',nan,1266.4677214999999,18872
53,0.20000000000000001,nan,'Physical Health & Services',nan,'General Fund','Physical Therapist',nan,nan,'NO_LABEL','PreK-12 Operating','PHYSICAL THERAPIST ','Physical Therapist','NO_LABEL','SPECIAL EDUCATION CATEGORY V','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,16576.420000000002,19255
54,0.44,'All Campus Payroll','Data Processing & Information Services','Instructional Resources And Media Services','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER MASTER','Other','Non PreK','Undistributed','School','School Reported','Unspecified','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',28641.745420300002,19303
