,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
0,0.854761905,840: nan,840: 'ELPA - PRESCHOOL PROG',840: nan,840: 'Early Childhood Education ',840: nan,840: 'SALARIES OF PART TIME EMPLOYEE',840: 'PARAPROFESSIONAL',840: 'EARLY CHILDHOOD',840: 'ITEMGD PRESCHOOL PROGRAM',840: nan,840: 'REGULAR INSTRUCTION',840: nan,840: 'Regular',840: nan,18719.22637
1,nan,'Instruction And Curriculum','Instruction','Intensive Reading Instruction Initiative Grant',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Basic Educational Services','Student Success Initiative Grant','Extended Week','EXTENDED DAYS',nan,nan,'Basic Educational Services - District Objective ',111.0307088
2,nan,'USING DATA HUMAN CAPITAL DECIS','INST STAFF TRAINING SVCS      ','ARRA - RACE TO THE TOP        ','CURRICULUM RESOURCE TEACHER   ','CHIEF ACADEMIC OFFICER        ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,'RACE TO THE TOP               ',nan,nan,nan,105.69
3,1,nan,nan,nan,"'EDUCATIONAL AIDE,SPED,70H'",nan,nan,nan,nan,'LOCAL',nan,nan,'GENERAL EDUCATION',nan,nan,32406.74591
4,0,nan,nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Education Assistants','TIME CARD CLASSIFIED Addl','Instruction - SPED',nan,nan,nan,nan,nan,'Special Education Instruction',3757.118413
5,nan,nan,'ELPA - FULL-DAY KINDER',nan,'(blank)','EARLY CHILDHOOD EDUCATION','BOOKS AND PERIODICALS','UNDESIGNATED','SUPPORT SERVICES-INSTRUCTIONAL','ITEMGD PRESCHOOL PROGRAM',nan,'INSTRUCTIONAL STAFF','EARLY EDUCATION','n/a',nan,33.75
6,nan,nan,'INSTRUCTION','General Fund',nan,nan,'COMMUNICATION',nan,'PRIMARY GRADES PROGRAM ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,73.47
7,nan,nan,'EMPLOYEE RETIREMENT',nan,'Americorp Hourly ','DISTRICT COMMUNITY RELATIONS','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,124.5
8,nan,nan,'NON-PROJECT',nan,'Teacher Secondary (Middle) ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-182.07
9,0.6,nan,nan,'School Nutrition Service Fund','Food Service Worker - Regular           ',nan,nan,'FOOD SERVICE WORKER                     ','Misc',nan,nan,nan,nan,nan,nan,8371.35
