,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Use
0,0.854761905,840: nan,840: 'Aides Compensation',840: 'ELPA - PRESCHOOL PROG',840: nan,840: 'Early Childhood Education ',840: nan,840: 'SALARIES OF PART TIME EMPLOYEE',840: 'Base Salary/Compensation',840: 'PreK-12 Operating',840: 'PARAPROFESSIONAL',840: 'TA',840: 'PreK',840: 'EARLY CHILDHOOD',840: 'School',840: 'School Reported',840: 'ELL',840: 'ITEMGD PRESCHOOL PROGRAM',840: nan,840: 'REGULAR INSTRUCTION',840: nan,840: 'Regular',840: nan,18719.22637,840: 'Instruction'
1,nan,'Instruction And Curriculum','Extended Time & Tutoring','Instruction','Intensive Reading Instruction Initiative Grant',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Student Success Initiative Grant','Extended Week','EXTENDED DAYS',nan,nan,'Basic Educational Services - District Objective ',111.0307088,'Instruction'
2,nan,nan,'School Administration','NON-PROJECT',nan,"'Principal, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Principal','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,928.47072,'Leadership'
3,1,nan,'Aides Compensation',nan,nan,"'EDUCATIONAL AIDE,SPED,70H'",nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'TA','NO_LABEL',nan,'School','School Reported','Special Education','LOCAL',nan,nan,'GENERAL EDUCATION',nan,nan,32406.74591,'Instruction'
4,0,nan,'Aides Compensation',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Education Assistants','Other Compensation/Stipend','PreK-12 Operating','TIME CARD CLASSIFIED Addl','TA','Non PreK','Instruction - SPED','Non-School','School on Central Budgets','Special Education',nan,nan,nan,nan,nan,'Special Education Instruction',3757.118413,'Instruction'
5,nan,nan,'Curriculum Development','ELPA - FULL-DAY KINDER',nan,'(blank)','EARLY CHILDHOOD EDUCATION','BOOKS AND PERIODICALS','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','ELL','ITEMGD PRESCHOOL PROGRAM',nan,'INSTRUCTIONAL STAFF','EARLY EDUCATION','n/a',nan,33.75,'ISPD'
6,nan,nan,'Teacher Compensation','NON-PROJECT',nan,'Teacher Secondary (Middle) ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Teacher','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-182.07,'Instruction'
7,1,nan,'Development & Fundraising',nan,nan,"'Specialist, Grant'",'OFFICE OF FEDERAL PROGRAM & GRANTS',nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified','FEDERAL GRANTS',nan,nan,'LOCAL GRANTS ADMINISTRATION',nan,nan,86523.5483,'Business Services'
8,0.6,nan,'Food Services',nan,'School Nutrition Service Fund','Food Service Worker - Regular           ',nan,nan,'NO_LABEL','PreK-12 Operating','FOOD SERVICE WORKER                     ','Coordinator/Manager','NO_LABEL','Misc','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,8371.35,'NO_LABEL'
9,nan,nan,'Physical Health & Services','NON-PROJECT',nan,'Nurse ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Nurse','NO_LABEL','NURSING SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Alternative',nan,41.88,'Pupil Services & Enrichment'
10,nan,nan,'Library & Media','NON-PROJECT',nan,'Library Media Center ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Librarian','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-9.55,'Instruction'
11,1,nan,'School Administration',nan,'General Purpose School','PRINCIPAL - ELEMENTARY',nan,'Personal Services - Principals','Base Salary/Compensation','PreK-12 Operating','PRINCIPAL','Principal','Non PreK',"""Principal's Office""",'School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Office of Principal',95675.74,'Leadership'
12,nan,nan,'Recruitment','NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,37.88672,'ISPD'
13,nan,'USING DATA HUMAN CAPITAL DECIS','Professional Development','INST STAFF TRAINING SVCS      ','ARRA - RACE TO THE TOP        ','CURRICULUM RESOURCE TEACHER   ','CHIEF ACADEMIC OFFICER        ','WORKSHOP PARTICIPANT          ','Other Compensation/Stipend','PreK-12 Operating',nan,'Instructional Coach','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'RACE TO THE TOP               ',nan,nan,nan,105.69,'ISPD'
14,nan,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'CHIEF OF OPERATIONS           ','NON-CAPITALIZED COMPUTER HARDW','Equipment & Equipment Lease','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'CHIEF OF OPERATIONS           ',nan,nan,nan,168.22,'Business Services'
15,nan,nan,'Career & Academic Counseling','NON-PROJECT',nan,"'School Counselor, High Sch '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Guidance Counselor','NO_LABEL','GUIDANCE SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,987.92,'Pupil Services & Enrichment'
16,1,nan,'Library & Media','INSTRUCTIONAL MEDIA SERVICES  ','GENERAL FUND                  ','LIBRARY/MEDIA SPECIALIST-MID  ','School ','OTHER CERTIFIED               ','Base Salary/Compensation','PreK-12 Operating',nan,'Librarian','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,52048.72109,'Instruction'
17,nan,nan,'School Administration','SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ',nan,'School ','SUPPLIES                      ','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,499.33,'Leadership'
18,0.028017241,nan,'Substitute Compensation','UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Super Sub D/D '",nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Turnaround',nan,1076.363539,'Instruction'
19,nan,nan,'Human Resources','NON-PROJECT',nan,'Human Resources Generalist ','HUMAN RESOURCES','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','STAFF SERVICES','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'CENTRAL','PERSONNEL SERVICES','n/a',nan,3016.40744,'Business Services'
20,nan,nan,'Curriculum Development',nan,'INTRADISTRICT FUNDS',nan,'OFFICE OF CAREER AND TECHNICAL EDUCATION','PROF SERVICE FEES AND CONTR','Contracted Services','PreK-12 Operating','OTHER SERVICES & CHARGES','Non-Position','NO_LABEL','INSTRUCTIONAL SUPPORT SERVICES','Non-School','Leadership & Management','Alternative','VOCATIONAL EDUCATION - CARL D. PERKINS',nan,nan,'LOCAL GRANTS ADMINISTRATION',nan,nan,130027.47,'ISPD'
